employee_id,manager_id,department,role_level,education_level,years_in_company,years_in_role,performance_rating,awards,kpis_count,kpis_achieved_pct,peer_review_score,training_courses_completed,certification_count,mentorship_participation,projects_delivered,salary,performance_intervention,promoted
EMP007439,EMP009124,Sales,IC3,Bachelors,4,1,3,0,3,66.67,2,1,1,0,0,96384,0,0
EMP009059,EMP009124,Sales,IC3,Bachelors,1,0,4,0,3,100.0,3,0,3,0,6,85223,0,0
EMP000569,EMP005466,Engineering,IC1,Other,14,10,4,0,1,100.0,3,3,2,1,3,92024,0,1
EMP009345,EMP009124,Sales,IC1,Bachelors,0,0,0,0,1,0.0,0,0,0,0,0,67088,0,0
EMP002237,EMP001858,Marketing,IC1,High School,10,5,3,0,1,100.0,3,0,1,0,1,85820,0,0
EMP003058,EMP005466,Engineering,IC2,Bachelors,9,2,3,3,2,100.0,3,0,2,0,3,90377,0,0
EMP007507,EMP005466,Engineering,IC2,Masters,4,2,5,0,2,100.0,5,1,4,0,3,81857,0,0
EMP001497,EMP005466,Engineering,IC2,Bachelors,11,4,4,2,2,100.0,3,3,1,0,2,93145,0,0
EMP001796,EMP002462,Sales,IC4,Bachelors,11,2,1,0,4,100.0,1,2,1,0,5,114451,0,0
EMP007854,EMP004444,Product,IC3,Bachelors,4,2,4,0,3,0.0,4,1,1,0,6,89647,0,0
EMP000108,EMP001858,Marketing,IC2,Associates,20,6,4,0,2,50.0,4,4,0,0,1,118294,0,0
EMP004517,EMP005466,Engineering,IC2,Bachelors,7,3,4,0,2,100.0,4,0,1,0,3,87475,0,0
EMP000705,EMP000547,Finance,M1,Bachelors,14,10,3,0,4,75.0,2,7,1,0,2,148678,0,0
EMP009976,EMP009124,Sales,IC3,Associates,0,0,0,0,3,0.0,0,0,0,0,0,89924,0,0
EMP002911,EMP000003,Engineering,IC4,Associates,9,4,5,0,4,50.0,5,0,0,0,7,116003,0,0
EMP001651,EMP000002,Marketing,M2,Masters,11,2,4,0,4,25.0,4,5,0,0,5,157613,0,0
EMP000312,EMP008371,Finance,IC2,Associates,16,7,4,0,2,100.0,4,2,1,1,1,105111,0,0
EMP009058,EMP000146,Legal,M1,Masters,1,0,4,0,4,25.0,5,0,0,0,1,119479,0,0
EMP008628,EMP009124,Sales,IC2,Bachelors,2,1,3,0,2,100.0,2,0,1,0,2,82477,0,1
EMP009602,EMP001858,Marketing,IC1,Masters,0,0,0,0,1,0.0,0,0,0,0,0,65281,0,0
EMP002869,EMP005865,Marketing,IC4,Masters,9,6,2,0,4,75.0,3,1,0,1,2,112507,0,0
EMP009020,EMP004444,Product,IC3,Masters,1,0,3,0,3,100.0,5,0,1,0,2,86404,0,0
EMP009437,EMP009124,Sales,IC2,Bachelors,0,0,0,0,2,0.0,0,0,0,0,0,72185,0,0
EMP008741,EMP005466,Engineering,IC2,Bachelors,2,1,3,1,2,0.0,4,0,2,0,1,78689,0,1
EMP002692,EMP006590,Customer Success,IC2,Other,9,5,3,0,2,50.0,2,5,1,0,4,93947,0,0
EMP005096,EMP003750,Operations,IC3,Masters,6,1,4,0,3,100.0,4,4,0,0,3,92050,0,0
EMP008614,EMP004444,Product,IC1,Associates,3,2,5,0,1,100.0,5,0,2,0,4,69811,0,0
EMP009930,EMP000034,Customer Success,M3,Associates,0,0,0,0,6,0.0,0,0,0,0,0,170212,0,0
EMP006912,EMP005865,Marketing,IC4,Bachelors,5,3,3,0,4,100.0,3,1,0,0,5,102609,0,1
EMP005200,EMP000003,Engineering,M1,Bachelors,6,3,3,0,4,50.0,4,2,0,0,7,121847,0,0
EMP004404,EMP000547,Finance,M1,Masters,7,5,3,1,4,75.0,1,2,2,0,4,131669,0,0
EMP001057,EMP000003,Engineering,M2,Bachelors,13,7,4,0,4,50.0,4,3,2,1,9,162309,0,1
EMP008422,EMP006590,Customer Success,IC1,Masters,3,1,3,0,1,100.0,3,1,3,0,5,66739,0,0
EMP008855,EMP008668,Engineering,IC4,Bachelors,2,1,4,0,4,100.0,4,1,1,0,5,98883,0,0
EMP009580,EMP008668,Engineering,IC4,Bachelors,0,0,0,0,4,0.0,0,0,0,0,0,97848,0,0
EMP008123,EMP008371,Finance,IC1,Bachelors,3,0,4,0,1,100.0,4,0,0,0,1,67046,0,1
EMP003943,EMP005466,Engineering,IC1,Associates,8,2,3,0,1,100.0,3,5,1,0,1,79546,0,0
EMP003775,EMP000002,Marketing,M1,Masters,8,1,3,0,4,50.0,4,1,3,0,4,138014,0,0
EMP008337,EMP000003,Engineering,M1,Bachelors,3,0,3,0,4,50.0,3,0,0,0,3,113999,0,1
EMP005708,EMP000122,Product,M1,Masters,6,1,3,0,4,25.0,2,2,1,0,4,119841,0,0
EMP008857,EMP000052,Sales,M1,Bachelors,2,0,1,0,4,100.0,1,0,1,0,4,122297,0,0
EMP004808,EMP000122,Product,IC4,Bachelors,7,3,3,0,4,100.0,3,3,2,0,6,110093,0,0
EMP007293,EMP009124,Sales,IC1,Bachelors,4,2,5,0,1,0.0,3,0,3,0,0,70381,0,0
EMP000389,EMP001858,Marketing,IC1,Bachelors,15,6,4,0,1,100.0,5,3,2,1,2,99309,0,0
EMP009838,EMP000002,Marketing,M3,Bachelors,0,0,0,0,6,0.0,0,0,0,0,0,180121,0,0
EMP008139,EMP004444,Product,IC1,Bachelors,3,0,4,0,1,100.0,4,1,0,0,0,66102,0,0
EMP001148,EMP000122,Product,M1,Masters,12,3,3,0,4,100.0,4,12,2,0,3,133740,0,0
EMP001898,EMP000122,Product,M1,Masters,10,7,3,0,4,25.0,2,4,1,0,2,130511,0,0
EMP008085,EMP005466,Engineering,IC2,Bachelors,3,1,4,0,2,100.0,4,0,0,0,3,78194,0,0
EMP004278,EMP009124,Sales,IC3,Associates,7,3,2,0,3,33.33,3,1,2,1,6,97002,0,0
EMP000036,EMP005466,Engineering,IC2,Bachelors,23,6,5,0,2,50.0,5,5,2,0,0,119855,0,1
EMP002759,EMP005466,Engineering,IC2,Masters,9,5,4,1,2,0.0,5,1,2,0,3,95988,0,1
EMP008472,EMP000044,Data Analytics,M2,Masters,3,2,4,0,4,50.0,4,2,4,0,2,147925,0,0
EMP001684,EMP003750,Operations,IC1,Bachelors,11,8,5,0,1,100.0,5,3,1,0,2,86344,0,0
EMP000040,EMP005466,Engineering,IC1,Bachelors,22,10,3,0,1,100.0,3,9,2,0,1,104681,0,1
EMP006463,EMP001858,Marketing,IC1,Other,5,1,4,0,1,100.0,4,2,1,0,3,78767,0,0
EMP004077,EMP004042,HR,IC3,High School,7,4,4,0,3,33.33,4,3,1,0,7,96206,0,0
EMP005711,EMP009124,Sales,IC3,Masters,6,3,4,0,3,100.0,4,0,4,0,3,101599,0,0
EMP008271,EMP009124,Sales,IC3,Associates,3,1,3,0,3,100.0,3,1,2,0,5,91443,0,1
EMP000591,EMP009124,Sales,IC1,Associates,14,9,5,0,1,100.0,5,5,1,0,3,93219,0,0
EMP008591,EMP009124,Sales,IC2,Other,3,1,3,0,2,50.0,3,0,0,0,1,77189,0,0
EMP009163,EMP003750,Operations,IC3,Bachelors,1,0,4,0,3,100.0,4,0,1,0,3,82484,0,0
EMP005584,EMP005466,Engineering,IC1,Associates,6,2,3,0,1,100.0,4,0,0,0,1,76824,0,0
EMP008549,EMP006590,Customer Success,IC2,Masters,3,1,3,1,2,100.0,3,0,1,0,3,77866,0,0
EMP009078,EMP005466,Engineering,IC1,Associates,1,0,3,0,1,0.0,3,0,0,0,7,67423,0,0
EMP005730,EMP009124,Sales,IC3,Associates,6,1,3,2,3,33.33,4,2,2,0,5,98998,0,1
EMP001191,EMP000003,Engineering,M2,Bachelors,12,4,4,0,4,25.0,3,5,2,0,3,157759,0,0
EMP002836,EMP000003,Engineering,IC4,Bachelors,9,5,5,0,4,25.0,5,4,0,0,3,117237,0,1
EMP008289,EMP001858,Marketing,IC2,Bachelors,3,2,3,0,2,100.0,2,0,1,0,2,77926,0,0
EMP009422,EMP005466,Engineering,IC3,Bachelors,0,0,0,0,3,0.0,0,0,0,0,0,82598,0,0
EMP000484,EMP009124,Sales,IC2,Bachelors,15,8,2,0,2,50.0,2,3,1,1,0,103501,0,1
EMP008060,EMP008371,Finance,IC2,Masters,3,0,5,0,2,100.0,5,1,2,0,4,79907,0,0
EMP003096,EMP003750,Operations,IC2,Bachelors,9,3,2,0,2,0.0,2,2,2,0,3,92557,0,1
EMP005776,EMP008371,Finance,IC1,Masters,6,3,3,0,1,100.0,3,3,2,0,4,74042,0,0
EMP004711,EMP001858,Marketing,IC2,Bachelors,7,1,4,0,2,50.0,3,2,0,1,4,84555,0,1
EMP009121,EMP001858,Marketing,IC2,Bachelors,1,0,4,0,2,100.0,4,0,1,1,7,72050,0,1
EMP001361,EMP000001,Operations,M1,Bachelors,12,4,2,0,4,50.0,1,3,1,0,3,142889,0,0
EMP006215,EMP005466,Engineering,IC2,Masters,5,2,4,0,2,100.0,5,3,4,0,5,82060,0,0
EMP007874,EMP000003,Engineering,M2,Other,4,1,4,0,4,100.0,3,1,1,0,7,152026,0,0
EMP008445,EMP005466,Engineering,IC2,Bachelors,3,2,2,0,2,100.0,2,2,1,0,1,81422,0,0
EMP001804,EMP005466,Engineering,IC2,Bachelors,11,3,4,1,2,100.0,4,2,1,0,0,95917,0,0
EMP008490,EMP003750,Operations,IC1,Associates,3,2,4,0,1,100.0,3,0,0,0,1,68481,0,0
EMP001483,EMP003750,Operations,IC2,Associates,11,8,1,0,2,100.0,1,5,2,0,3,100482,0,0
EMP006885,EMP008668,Engineering,IC4,Masters,5,3,4,0,4,100.0,3,1,3,0,3,110665,0,0
EMP004774,EMP008144,Product,IC4,Bachelors,7,3,3,0,4,25.0,3,3,3,0,6,114164,0,0
EMP007205,EMP009124,Sales,IC2,Masters,4,1,5,0,2,100.0,5,2,1,0,4,82916,0,1
EMP008795,EMP005466,Engineering,IC3,Bachelors,2,0,4,1,3,100.0,3,1,0,0,1,88645,0,1
EMP003128,EMP000547,Finance,M1,Bachelors,9,3,3,1,4,75.0,3,3,0,0,3,131511,0,0
EMP005628,EMP002462,Sales,IC4,Associates,6,2,4,0,4,100.0,4,4,0,0,5,113761,0,0
EMP009868,EMP001858,Marketing,IC2,Bachelors,0,0,0,0,2,0.0,0,0,0,0,0,75020,0,0
EMP003406,EMP000052,Sales,M1,Masters,8,3,3,0,4,100.0,3,3,1,0,1,135329,0,0
EMP000851,EMP009124,Sales,IC2,Bachelors,13,7,4,2,2,0.0,4,3,1,0,5,104361,0,0
EMP004914,EMP001858,Marketing,IC3,Masters,7,3,5,2,3,100.0,3,0,2,0,7,98366,0,0
EMP004958,EMP008371,Finance,IC2,Bachelors,7,4,4,0,2,50.0,4,5,2,0,1,85730,0,0
EMP002317,EMP005466,Engineering,IC1,High School,10,6,5,0,1,100.0,5,0,1,1,2,89920,0,0
EMP000260,EMP003750,Operations,IC2,Bachelors,17,7,4,0,2,100.0,5,7,1,0,1,109188,0,0
EMP008580,EMP005865,Marketing,IC4,Bachelors,3,1,5,0,4,75.0,5,2,1,0,8,101439,0,0
EMP002946,EMP009124,Sales,IC3,Masters,9,2,4,0,3,33.33,5,5,1,0,3,101302,0,0
EMP003019,EMP008371,Finance,IC1,Bachelors,9,3,3,0,1,100.0,2,1,0,0,1,87959,0,0
EMP002349,EMP009124,Sales,IC1,Associates,10,2,3,0,1,100.0,1,2,1,1,2,85071,0,0
EMP004346,EMP002462,Sales,IC4,Bachelors,7,4,3,2,4,50.0,3,2,3,0,3,107733,0,0
EMP003388,EMP000547,Finance,M2,Bachelors,8,5,4,0,4,75.0,3,3,2,1,3,163772,0,0
EMP009830,EMP005466,Engineering,IC3,Associates,0,0,0,0,3,0.0,0,0,0,0,0,81786,0,0
EMP004002,EMP000122,Product,M1,Bachelors,8,6,5,1,4,75.0,5,0,1,0,5,125295,0,1
EMP007760,EMP003750,Operations,IC1,Bachelors,4,3,3,0,1,100.0,3,1,1,0,0,76869,0,0
EMP009795,EMP000052,Sales,IC4,Other,0,0,0,0,4,0.0,0,0,0,0,0,94434,0,0
EMP005172,EMP009124,Sales,IC2,Bachelors,6,2,4,0,2,50.0,2,1,1,0,5,84501,0,0
EMP006990,EMP009124,Sales,IC2,Masters,5,1,3,0,2,50.0,3,0,3,1,2,82190,0,0
EMP006194,EMP000003,Engineering,M1,Bachelors,5,3,4,1,4,100.0,4,1,0,0,5,124278,0,1
EMP009411,EMP000003,Engineering,IC4,Masters,0,0,0,0,4,0.0,0,0,0,0,0,100611,0,0
EMP007923,EMP000052,Sales,M1,High School,3,0,4,0,4,50.0,4,0,0,0,4,120194,0,0
EMP002693,EMP006590,Customer Success,IC2,Masters,9,2,3,0,2,100.0,4,2,0,0,2,92709,0,0
EMP003471,EMP009124,Sales,IC2,Bachelors,8,6,5,3,2,100.0,5,2,2,1,3,94025,0,1
EMP006642,EMP002462,Sales,IC4,Bachelors,5,3,4,2,4,75.0,4,1,1,0,3,104471,0,0
EMP003434,EMP005466,Engineering,IC3,Bachelors,8,1,4,0,3,33.33,4,1,0,0,5,99586,0,0
EMP003482,EMP001858,Marketing,IC1,Masters,8,2,4,0,1,100.0,3,1,3,0,3,84908,0,0
EMP000669,EMP003750,Operations,IC2,Bachelors,14,6,3,0,2,50.0,3,4,0,0,5,98120,0,0
EMP003449,EMP001858,Marketing,IC3,Masters,8,2,4,0,3,100.0,3,3,2,1,6,105128,0,0
EMP010000,EMP004042,HR,IC2,Bachelors,0,0,0,0,2,0.0,0,0,0,0,0,75718,0,0
EMP007638,EMP005466,Engineering,IC1,Associates,4,2,3,1,1,100.0,2,0,2,0,0,70818,0,1
EMP003606,EMP000267,HR,IC4,Masters,8,3,4,0,4,75.0,4,4,1,0,3,115220,0,0
EMP007701,EMP005466,Engineering,IC2,Masters,4,2,4,0,2,100.0,4,1,2,0,2,81786,0,0
EMP000252,EMP008668,Engineering,IC4,Associates,17,4,4,1,4,75.0,5,3,3,0,6,135928,0,0
EMP009824,EMP004042,HR,IC3,Masters,0,0,0,0,3,0.0,0,0,0,0,0,87656,0,0
EMP003127,EMP005466,Engineering,IC2,Associates,9,5,3,0,2,100.0,3,1,0,0,0,88648,0,0
EMP008673,EMP005466,Engineering,IC1,Masters,2,0,3,0,1,100.0,2,2,3,0,1,72101,0,0
EMP008273,EMP000052,Sales,M2,Other,3,1,4,0,4,0.0,4,0,1,1,3,146665,0,0
EMP003397,EMP009124,Sales,IC2,Masters,8,4,3,0,2,50.0,2,3,1,0,3,87610,0,0
EMP007392,EMP008961,HR,IC4,Associates,4,1,3,0,4,75.0,3,0,0,0,5,109449,0,0
EMP002738,EMP000003,Engineering,M1,Masters,9,5,3,0,4,100.0,5,4,2,0,4,132986,0,0
EMP005454,EMP008371,Finance,IC2,Associates,6,2,2,0,2,100.0,2,1,1,0,2,82139,0,1
EMP009828,EMP000003,Engineering,IC4,Associates,0,0,0,0,4,0.0,0,0,0,0,0,101946,0,0
EMP000625,EMP005466,Engineering,IC3,Masters,14,2,5,0,3,66.67,5,7,3,0,0,109746,0,1
EMP005317,EMP001858,Marketing,IC3,Associates,6,2,2,0,3,100.0,2,2,0,0,5,95378,0,0
EMP008845,EMP000001,Operations,IC4,Other,2,0,4,1,4,25.0,4,0,2,0,5,99710,0,0
EMP005146,EMP008668,Engineering,IC4,Associates,6,4,3,0,4,100.0,4,2,1,0,3,113681,0,1
EMP001088,EMP005466,Engineering,IC2,High School,12,7,2,0,2,100.0,3,2,0,0,1,100775,0,0
EMP006434,EMP000001,Operations,M1,Bachelors,5,3,4,0,4,75.0,4,1,1,0,1,120926,0,1
EMP009914,EMP009124,Sales,IC3,Masters,0,0,0,0,3,0.0,0,0,0,0,0,87863,0,0
EMP001433,EMP000267,HR,M1,Bachelors,11,5,4,0,4,50.0,5,4,1,0,5,143849,0,0
EMP008351,EMP009124,Sales,IC1,Masters,3,1,4,3,1,100.0,4,0,4,0,2,71230,0,1
EMP008483,EMP000547,Finance,M2,Masters,3,1,3,0,4,50.0,3,2,3,0,4,145149,0,0
EMP006484,EMP000003,Engineering,IC4,Masters,5,2,3,3,4,50.0,4,3,1,0,3,104212,0,1
EMP000097,EMP005466,Engineering,IC1,Other,20,11,4,0,1,100.0,4,4,3,0,2,102542,0,1
EMP006366,EMP005466,Engineering,IC2,Other,5,2,4,2,2,100.0,3,4,1,0,1,82587,0,0
EMP005268,EMP005466,Engineering,IC1,Masters,6,4,4,0,1,100.0,5,3,3,0,2,73474,0,0
EMP005647,EMP001858,Marketing,IC1,Associates,6,2,4,0,1,100.0,5,2,0,0,0,76126,0,1
EMP000120,EMP000003,Engineering,M3,Bachelors,19,11,4,0,6,66.67,3,5,5,0,4,224021,0,0
EMP003488,EMP006590,Customer Success,IC3,Masters,8,3,3,0,3,100.0,3,0,0,0,1,98028,0,0
EMP007727,EMP004444,Product,IC1,Bachelors,4,1,4,0,1,0.0,5,0,0,0,3,73097,0,0
EMP000034,,Customer Success,Director,Masters,23,6,0,0,0,0.0,0,13,4,1,0,243001,0,0
EMP002877,EMP004444,Product,IC3,Masters,9,2,4,0,3,66.67,4,5,1,0,2,107318,0,1
EMP005720,EMP000732,Operations,IC4,PhD,6,4,4,0,4,75.0,4,2,0,0,4,104606,0,0
EMP003468,EMP000001,Operations,M1,Masters,8,2,4,0,4,100.0,4,1,1,0,6,131153,0,0
EMP009796,EMP003750,Operations,IC3,Bachelors,0,0,0,0,3,0.0,0,0,0,0,0,89900,0,0
EMP003206,EMP006590,Customer Success,IC1,Associates,8,1,3,0,1,0.0,4,3,0,0,3,81190,0,0
EMP004393,EMP005466,Engineering,IC1,Masters,7,2,2,0,1,100.0,1,1,1,0,2,75716,0,0
EMP003209,EMP003750,Operations,IC3,Masters,8,2,3,0,3,33.33,4,2,2,0,3,97973,0,0
EMP006631,EMP000052,Sales,M2,Associates,5,2,4,0,4,0.0,5,0,2,0,1,145573,0,0
EMP005020,EMP005466,Engineering,IC1,Masters,6,4,3,0,1,100.0,3,7,4,0,3,73336,0,0
EMP007931,EMP005466,Engineering,IC1,Masters,3,1,3,0,1,0.0,2,2,3,0,2,72605,0,0
EMP004511,EMP000002,Marketing,M1,Other,7,4,3,0,4,75.0,2,4,1,0,1,133526,0,0
EMP007741,EMP000002,Marketing,M1,Associates,4,1,3,0,4,75.0,3,0,0,0,4,117733,0,0
EMP006323,EMP005466,Engineering,IC1,Bachelors,5,3,3,0,1,100.0,3,1,1,0,0,70340,0,0
EMP000032,EMP001858,Marketing,IC3,Masters,23,15,4,0,3,100.0,3,6,0,0,4,130894,0,0
EMP006217,EMP005466,Engineering,IC1,Masters,5,3,2,0,1,100.0,2,2,2,0,2,71140,0,0
EMP001513,EMP001858,Marketing,IC2,Bachelors,11,5,3,0,2,50.0,4,2,0,1,2,94031,0,0
EMP000030,EMP006590,Customer Success,IC1,Masters,23,7,3,0,1,100.0,4,8,1,0,2,115724,0,0
EMP001278,EMP000001,Operations,M2,Associates,12,3,3,0,4,25.0,3,3,2,0,1,172980,0,0
EMP007653,EMP008144,Product,IC4,Masters,4,1,3,0,4,100.0,4,1,1,0,5,110088,0,0
EMP008038,EMP004444,Product,IC1,Masters,3,2,3,0,1,100.0,2,0,3,0,1,71569,0,0
EMP001419,EMP001858,Marketing,IC1,Bachelors,12,8,4,0,1,0.0,3,2,2,0,3,90742,0,0
