employee_id,manager_id,department,role_level,education_level,years_in_company,years_in_role,performance_rating,awards,kpis_count,kpis_achieved_pct,peer_review_score,training_courses_completed,certification_count,mentorship_participation,projects_delivered,salary,performance_intervention,promoted,prediction_promoted,box_category,potential
EMP007439,EMP009124,Sales,IC3,Bachelors,4,1,3,0,3,66.67,2,1,1,0,0,96384,0,0,1,Moderate Potential / Moderate Performance,0.14876084019830144
EMP009059,EMP009124,Sales,IC3,Bachelors,1,0,4,0,3,100.0,3,0,3,0,6,85223,0,0,0,Low Potential / High Performance,0.13863368453958594
EMP000569,EMP005466,Engineering,IC1,Other,14,10,4,0,1,100.0,3,3,2,1,3,92024,0,1,0,Low Potential / High Performance,0.13231786784885335
EMP002237,EMP001858,Marketing,IC1,High School,10,5,3,0,1,100.0,3,0,1,0,1,85820,0,0,0,Low Potential / Moderate Performance,0.11676244931791693
EMP003058,EMP005466,Engineering,IC2,Bachelors,9,2,3,3,2,100.0,3,0,2,0,3,90377,0,0,1,Moderate Potential / Moderate Performance,0.17941319345926982
EMP007507,EMP005466,Engineering,IC2,Masters,4,2,5,0,2,100.0,5,1,4,0,3,81857,0,0,1,Moderate Potential / High Performance,0.1917199788803417
EMP001497,EMP005466,Engineering,IC2,Bachelors,11,4,4,2,2,100.0,3,3,1,0,2,93145,0,0,1,Moderate Potential / High Performance,0.17079326250326787
EMP001796,EMP002462,Sales,IC4,Bachelors,11,2,1,0,4,100.0,1,2,1,0,5,114451,0,0,0,Low Potential / Low Performance,0.1131545085308098
EMP007854,EMP004444,Product,IC3,Bachelors,4,2,4,0,3,0.0,4,1,1,0,6,89647,0,0,1,High Potential / High Performance,0.24719376619092465
EMP000108,EMP001858,Marketing,IC2,Associates,20,6,4,0,2,50.0,4,4,0,0,1,118294,0,0,1,Moderate Potential / High Performance,0.18816782422662218
EMP004517,EMP005466,Engineering,IC2,Bachelors,7,3,4,0,2,100.0,4,0,1,0,3,87475,0,0,1,Moderate Potential / High Performance,0.15724419877320645
EMP000705,EMP000547,Finance,M1,Bachelors,14,10,3,0,4,75.0,2,7,1,0,2,148678,0,0,1,Moderate Potential / Moderate Performance,0.15219155306692375
EMP002911,EMP000003,Engineering,IC4,Associates,9,4,5,0,4,50.0,5,0,0,0,7,116003,0,0,1,Moderate Potential / High Performance,0.19565756462502462
EMP001651,EMP000002,Marketing,M2,Masters,11,2,4,0,4,25.0,4,5,0,0,5,157613,0,0,1,High Potential / High Performance,0.2520111926921385
EMP000312,EMP008371,Finance,IC2,Associates,16,7,4,0,2,100.0,4,2,1,1,1,105111,0,0,1,Low Potential / High Performance,0.14411001650984043
EMP009058,EMP000146,Legal,M1,Masters,1,0,4,0,4,25.0,5,0,0,0,1,119479,0,0,1,High Potential / High Performance,0.26761448499468216
EMP008628,EMP009124,Sales,IC2,Bachelors,2,1,3,0,2,100.0,2,0,1,0,2,82477,0,1,0,Low Potential / Moderate Performance,0.12323383389088607
EMP002869,EMP005865,Marketing,IC4,Masters,9,6,2,0,4,75.0,3,1,0,1,2,112507,0,0,1,Moderate Potential / Low Performance,0.1699454298638324
EMP009020,EMP004444,Product,IC3,Masters,1,0,3,0,3,100.0,5,0,1,0,2,86404,0,0,1,Moderate Potential / Moderate Performance,0.1955874469170173
EMP008741,EMP005466,Engineering,IC2,Bachelors,2,1,3,1,2,0.0,4,0,2,0,1,78689,0,1,1,High Potential / Moderate Performance,0.27042521025248856
EMP002692,EMP006590,Customer Success,IC2,Other,9,5,3,0,2,50.0,2,5,1,0,4,93947,0,0,1,Moderate Potential / Moderate Performance,0.1568640144804857
EMP005096,EMP003750,Operations,IC3,Masters,6,1,4,0,3,100.0,4,4,0,0,3,92050,0,0,1,Moderate Potential / High Performance,0.17981281571742538
EMP008614,EMP004444,Product,IC1,Associates,3,2,5,0,1,100.0,5,0,2,0,4,69811,0,0,1,Moderate Potential / High Performance,0.15834315939722177
EMP006912,EMP005865,Marketing,IC4,Bachelors,5,3,3,0,4,100.0,3,1,0,0,5,102609,0,1,1,Low Potential / Moderate Performance,0.14137550148166259
EMP005200,EMP000003,Engineering,M1,Bachelors,6,3,3,0,4,50.0,4,2,0,0,7,121847,0,0,1,High Potential / Moderate Performance,0.20478479760716584
EMP004404,EMP000547,Finance,M1,Masters,7,5,3,1,4,75.0,1,2,2,0,4,131669,0,0,1,Low Potential / Moderate Performance,0.1424442192511856
EMP001057,EMP000003,Engineering,M2,Bachelors,13,7,4,0,4,50.0,4,3,2,1,9,162309,0,1,1,High Potential / High Performance,0.2017311621276661
EMP008422,EMP006590,Customer Success,IC1,Masters,3,1,3,0,1,100.0,3,1,3,0,5,66739,0,0,1,Moderate Potential / Moderate Performance,0.15025797404806163
EMP008855,EMP008668,Engineering,IC4,Bachelors,2,1,4,0,4,100.0,4,1,1,0,5,98883,0,0,1,Moderate Potential / High Performance,0.16120563079862707
EMP008123,EMP008371,Finance,IC1,Bachelors,3,0,4,0,1,100.0,4,0,0,0,1,67046,0,1,1,Moderate Potential / High Performance,0.1599376900568246
EMP003943,EMP005466,Engineering,IC1,Associates,8,2,3,0,1,100.0,3,5,1,0,1,79546,0,0,0,Low Potential / Moderate Performance,0.1372916828190603
EMP003775,EMP000002,Marketing,M1,Masters,8,1,3,0,4,50.0,4,1,3,0,4,138014,0,0,1,High Potential / Moderate Performance,0.21768628754546504
EMP008337,EMP000003,Engineering,M1,Bachelors,3,0,3,0,4,50.0,3,0,0,0,3,113999,0,1,1,Moderate Potential / Moderate Performance,0.17956639496265997
